Variable,Model p-value,Bootstrap significant?,Notes
const,0.0001,Yes,Agreement
cc4_world_lag,0.2266,No,Agreement
cc4_wealthUS_lag,0.5305,No,Agreement
cc4_poorUS_lag,0.31,No,Agreement
cc4_comm_lag,0.0,Yes,Agreement
cc4_famheal_lag,0.0,Yes,Agreement
cc4_famecon_lag,0.0014,Yes,Agreement
ccSolve_lag,0.5812,No,Agreement
cc_pol_tax_lag,0.0003,Yes,Agreement
cc_pol_car_lag,0.8216,No,Agreement
pol_score_lag,0.2093,No,Agreement
pol_ideology_lag,0.1386,No,Agreement
dem_income,0.34,No,Agreement
dem_age,0.0801,No,Agreement
dem_educ,0.7166,No,Agreement
dem_male,0.1592,No,Agreement
