Variable,Model p-value,Bootstrap significant?,Notes
const,0.0,Yes,Agreement
cc4_world_lag,0.0798,No,Agreement
cc4_wealthUS_lag,0.7218,No,Agreement
cc4_poorUS_lag,0.3714,No,Agreement
cc4_comm_lag,0.1418,No,Agreement
cc4_famheal_lag,0.2343,No,Agreement
cc4_famecon_lag,0.2762,No,Agreement
ccSolve_lag,0.042,No,Partial disagreement
cc_pol_tax_lag,0.0,Yes,Agreement
cc_pol_car_lag,0.2574,No,Agreement
pol_score_lag,0.7495,No,Agreement
pol_ideology_lag,0.1344,No,Agreement
dem_income,0.2296,No,Agreement
dem_age,0.0562,No,Agreement
dem_educ,0.1646,No,Agreement
dem_male,0.1705,No,Agreement
