Variable,Model p-value,Bootstrap significant?,Notes
const,0.0,Yes,Agreement
cc4_world_lag,0.0,Yes,Agreement
cc4_wealthUS_lag,0.0278,Yes,Agreement
cc4_poorUS_lag,0.0011,Yes,Agreement
cc4_comm_lag,0.8296,No,Agreement
cc4_famheal_lag,0.9694,No,Agreement
cc4_famecon_lag,0.4048,No,Agreement
ccSolve_lag,0.4585,No,Agreement
cc_pol_tax_lag,0.0,Yes,Agreement
cc_pol_car_lag,0.0,Yes,Agreement
pol_score_lag,0.0286,Yes,Agreement
pol_ideology_lag,0.0277,Yes,Agreement
dem_income,0.2638,No,Agreement
dem_age,0.4348,No,Agreement
dem_educ,0.4778,No,Agreement
dem_male,0.9363,No,Agreement
