Variable,Model p-value,Bootstrap significant?,Notes
const,0.0,Yes,Agreement
cc4_world_lag,0.9462,No,Agreement
cc4_wealthUS_lag,0.7204,No,Agreement
cc4_poorUS_lag,0.4194,No,Agreement
cc4_comm_lag,0.4287,No,Agreement
cc4_famheal_lag,0.5793,No,Agreement
cc4_famecon_lag,0.8091,No,Agreement
ccSolve_lag,0.0433,No,Partial disagreement
cc_pol_tax_lag,0.1154,No,Agreement
cc_pol_car_lag,0.8064,No,Agreement
pol_score_lag,0.0,Yes,Agreement
pol_ideology_lag,0.0,Yes,Agreement
dem_income,0.9895,No,Agreement
dem_age,0.1613,No,Agreement
dem_educ,0.2698,No,Agreement
dem_male,0.5591,No,Agreement
