Variable,Model p-value,Bootstrap significant?,Notes
const,0.0,Yes,Agreement
cc4_world_lag,0.1016,No,Agreement
cc4_wealthUS_lag,0.7496,No,Agreement
cc4_poorUS_lag,0.3938,No,Agreement
cc4_comm_lag,0.2018,No,Agreement
cc4_famheal_lag,0.3138,No,Agreement
cc4_famecon_lag,0.3175,No,Agreement
pol_score_lag,0.7426,No,Agreement
pol_ideology_lag,0.1861,No,Agreement
cc_pol_tax_lag,0.0,Yes,Agreement
cc_pol_car_lag,0.2054,No,Agreement
ccSolve_lag,0.0701,No,Agreement
dem_income,0.2384,No,Agreement
dem_educ,0.2259,No,Agreement
dem_male,0.1727,No,Agreement
dem_age,0.0548,Yes,Bootstrap-only significance
