Variable,Model p-value,Bootstrap significant?,Notes
const,0.0002,Yes,Agreement
cc4_world_lag,0.0,Yes,Agreement
cc4_wealthUS_lag,0.079,No,Agreement
cc4_poorUS_lag,0.0451,Yes,Agreement
cc4_comm_lag,0.4927,No,Agreement
cc4_famheal_lag,0.9732,No,Agreement
cc4_famecon_lag,0.4677,No,Agreement
ccSolve_lag,0.0001,Yes,Agreement
pol_score_lag,0.0,Yes,Agreement
pol_ideology_lag,0.2216,No,Agreement
cc_pol_tax_lag,0.0,Yes,Agreement
cc_pol_car_lag,0.0,Yes,Agreement
dem_income,0.3301,No,Agreement
dem_educ,0.0047,Yes,Agreement
dem_male,0.4951,No,Agreement
dem_age,0.1442,No,Agreement
